frame,timestamp,processing_mode,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,confirmation_frames
0,2026-08-08T14:11:13.593158,shadow,silero,webrtc,False,0.0,True,True,True,1,False,True,False,2,0.0,0.005,False,0,0,False,0.08,False,1280.0,True,True,2.6,True,6.986031722370867,0.8260261351837819,0.08424476825573729,0.08972909656048085,0.8,False,,0.5,False,0,False,0,2,2,True,False,0,True,False,grouped_v1,False,0.008337889837230363,0.06889352818371608,3.2639321065815614,0.9213482035850084,104.88262841539652,1535.5563981135595,5.770644783901306,0.5885366234783629,0.6268503149911978,0.0,0.0,,,,,,,,2.061398441360215,-0.0012639142073122868,1033.3333333333335,0.002536760706350466,,,,,,,,,,
1,2026-08-08T14:11:13.717172,shadow,silero,webrtc,False,0.06643348187208176,True,True,True,1,False,True,False,3,0.0,0.005,True,1,0,False,0.08,True,1280.0,True,True,2.6,True,0.0008008183322285773,0.7129302683706149,0.22171403107292229,0.06535570055646282,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,9.358050596483543e-05,0.12734864300626306,3.6304043601359597,0.9057473110054421,65.28457016685141,1571.0577460771613,0.0005709276285118279,0.0001775526605954926,5.233804312125686e-05,0.0,0.0,,,,,,,0.005265425865905201,1.1642826833487088,-0.0006925644254917561,1566.6666666666667,0.023407216450442466,,,,,,,,,,
2,2026-08-08T14:11:13.756090,shadow,silero,webrtc,False,0.009186728857457638,True,True,True,1,False,True,False,3,0.0,0.005,True,2,0,False,0.08,True,1280.0,True,True,2.6,True,0.0003625245546801236,0.7151643323222933,0.2096573890490493,0.07517827862865738,0.8,True,,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,6.762335644413147e-05,0.1315240083507307,3.606849265143598,0.8967472490747604,61.8743977350205,1666.3549116437662,0.0002592646310982473,7.600595160040401e-05,2.725397198147227e-05,0.0,0.0,,,,,,,0.00582899895065746,0.9924086679019085,-0.0005845414083975174,1600.0,0.03444086077907177,,,,,,,,,,
3,2026-08-08T14:11:13.762167,shadow,silero,webrtc,False,0.0055916160345077515,True,True,True,1,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0005127997778395589,0.758429596139323,0.16189312964756866,0.07967727421310834,0.8,True,,0.5,False,0,False,0,3,3,True,True,1,False,True,grouped_v1,False,7.9352610165385e-05,0.1336116910229645,3.5691652603607857,0.903649078616128,63.61674348194923,1562.7426608742605,0.00038892252840719125,8.301876091702412e-05,4.0858488515343575e-05,0.0,0.0,,,,,,,0.004971229805325038,1.364878617646206,-0.000819583134506494,1400.0,0.015482412305758479,,,,,,,,,,
4,2026-08-08T14:11:13.767917,shadow,silero,webrtc,False,0.0027346224524080753,True,True,True,1,True,True,False,3,0.0,0.005,False,0,1,True,0.08,True,1280.0,True,True,2.6,True,0.00026212218161125066,0.6401131530195258,0.19048142129957985,0.16940542568089445,0.8,True,,0.5,False,0,False,0,3,3,True,True,2,False,True,grouped_v1,False,5.982512702190797e-05,0.17118997912317327,3.2756749327708343,0.8578549995088671,60.266426103139835,1808.8458022195514,0.00016778785614753443,4.992940570745762e-05,4.440491975625864e-05,0.0,0.0,,,,,,,0.009180770615770514,0.9684372854362325,-0.0005687607618680953,2500.0,0.03317374721327566,,,,,,,,,,
5,2026-08-08T14:11:13.773792,shadow,silero,webrtc,False,0.0037614272441715,True,True,True,1,True,True,False,3,0.0,0.005,False,0,2,True,0.08,True,1280.0,True,True,2.6,True,0.00033082974801178173,0.40550330305034504,0.3460042535965618,0.2484924433530932,0.8,True,,0.5,False,0,False,0,3,3,True,True,3,False,True,grouped_v1,False,6.521889046137678e-05,0.2150313152400835,4.025818230552704,0.7962237035839935,60.95133566134614,1908.357217633287,0.0001341525555660908,0.00011446850002835516,8.220869241733577e-05,0.0,0.0,,,,,,,0.005816379140865567,0.8742276025985044,-0.0005206798471789343,2666.666666666667,0.06630790305837655,,,,,,,,,,
6,2026-08-08T14:11:13.780871,shadow,silero,webrtc,False,0.004520856309682131,True,True,False,1,True,True,False,3,0.0,0.005,False,0,3,True,0.08,True,1280.0,True,True,2.6,True,0.002708703831384707,0.34717121958262187,0.624654907652425,0.028173872764953176,0.8,True,,0.5,False,0,False,0,3,3,True,True,4,False,True,grouped_v1,False,0.00015706971766978666,0.1649269311064718,3.6479592842829542,0.8776782237183532,69.9930470335651,1470.075810360284,0.0009403840126299492,0.0016920051416513839,7.631467710337391e-05,0.0,0.0,,,,,,,0.009579515050740558,1.466892538416721,-0.0008734756331273393,1566.6666666666667,0.006693319170396679,,,,,,,,,,
7,2026-08-08T14:11:13.787404,shadow,silero,webrtc,False,0.005561408121138811,True,True,False,1,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0002664530291925074,0.46081794381183405,0.3576911369734633,0.18149091921470278,0.8,True,,0.5,False,0,False,0,3,3,True,True,5,False,True,grouped_v1,False,6.060800508431566e-05,0.18162839248434237,3.8799565347991827,0.8266057916936289,60.260992105143046,1796.9242562812321,0.00012278633703492585,9.530788696189137e-05,4.83588051956902e-05,0.0,0.0,,,,,,,0.00958167407146612,1.0513175773819792,-0.0006260421439401162,2666.666666666667,0.040590616028078,,,,,,,,,,
8,2026-08-08T14:11:13.803387,shadow,silero,webrtc,False,0.006133314687758684,True,True,False,1,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.00046300236086043844,0.7284529281727974,0.18893253187584663,0.08261453995135593,0.8,True,,0.5,False,0,False,0,3,3,True,True,6,False,True,grouped_v1,False,7.236893071560759e-05,0.1419624217118998,3.272592018729497,0.8900625485811331,62.58242341049051,1712.271653254798,0.0003372754255197046,8.747620830185703e-05,3.82507270388768e-05,0.0,0.0,,,,,,,0.00457855607440447,0.9031968653945088,-0.000537079633376407,1966.6666666666667,0.03529248111203705,,,,,,,,,,
9,2026-08-08T14:11:13.811598,shadow,silero,webrtc,False,0.00758532015606761,True,True,False,1,True,True,False,3,0.0,0.005,True,0,0,True,0.08,True,1280.0,True,True,2.6,True,0.0005934551169139923,0.708117016153174,0.1993855966120155,0.0924973872348106,0.8,True,0.005576512077823281,0.5,False,0,False,0,3,3,True,True,7,False,True,grouped_v1,False,8.045024513570688e-05,0.162839248434238,3.6966927075922196,0.8877900511441296,63.68187224531822,1553.7140415511642,0.00042023566660996924,0.00011832640254834975,5.489304775567334e-05,0.0,0.0,0.15619252023020516,0.14420906152142016,0.06331829273950798,0.03719123330545862,0.24431085804764024,136.220883405704,0.003745447226299635,1.2894479633253941,-0.0007739968044383348,1600.0,0.017688481979756192,,,,,,,,,,
