wav_file,annotation_start_seconds,annotation_end_seconds,annotation_label,max_qualifying_run,max_segment_local_qualifying_run,max_live_qualifying_run,sustained_at_requirement,segment_local_sustained,cross_boundary_continuation,cross_boundary_frame_count,trigger
silent_whisper.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
silent_whisper.wav,0.2,5.0,silence,1,1,1,False,False,False,0,False
silent_whisper.wav,5.0,10.0,whisper,29,29,29,True,True,False,0,True
silent_whisper_speak.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
silent_whisper_speak.wav,0.2,2.8,silence,1,1,1,False,False,False,0,False
silent_whisper_speak.wav,2.8,5.5,whisper,36,36,36,True,True,False,0,True
silent_whisper_speak.wav,5.5,6.4,silence,0,0,0,False,False,False,0,False
silent_whisper_speak.wav,6.4,9.64,normal_speech,9,9,9,False,False,False,0,False
silent_whisper_speak.wav,9.64,10.0,silence,12,12,12,False,False,False,0,False
test_background.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
test_background.wav,0.2,10.0,silence,11,11,11,False,False,False,0,False
whispered_question.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
whispered_question.wav,0.2,2.0,silence,19,19,19,False,False,False,0,False
whispered_question.wav,2.0,5.34,whisper,47,47,47,True,True,False,0,True
whispered_question.wav,5.34,8.17,silence,0,0,0,False,False,False,0,False
whispered_question.wav,8.17,8.7,normal_speech,4,4,4,False,False,False,0,False
whispered_question.wav,8.7,10.0,silence,8,8,8,False,False,False,0,False
whispered_question2.wav,0.0,0.5,background_noise,8,8,8,False,False,False,0,False
whispered_question2.wav,0.5,2.08,silence,5,5,13,False,False,False,0,False
whispered_question2.wav,2.08,8.68,whisper,67,67,67,True,True,False,0,True
whispered_question2.wav,8.68,10.0,silence,7,7,74,True,False,True,7,False
